区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,金鱼池西区 ,4室2厅,112.99,920,81424,房本满五年,南北,精装,无,顶层(共6层)2002年建板塔结合,,-
东城,胡家园小区 ,3室1厅,74.38,860,115623,房本满五年,南北,简装,有电梯,中楼层(共12层)1989年建板塔结合,,-
东城,冠城名敦道 ,3室1厅,179.31,2000,111539,房本满五年,南北,精装,有电梯,低楼层(共27层)2009年建板楼,,-
东城,新世界家园 ,2室2厅,123.26,1490,120883,房本满五年,南北,简装,有电梯,底层(共11层)2004年建板楼,,-
东城,新景家园西区 ,2室1厅,93.1,1097,117831,房本满五年,西,精装,有电梯,高楼层(共12层)2001年建板塔结合,,-
东城,信用北里 ,2室1厅,51.05,560,109697,房本满五年,东西,精装,无,底层(共5层)1984年建板楼,,-
东城,豆瓣胡同 ,2室1厅,70.83,1020,144007,房本满五年,南西北,简装,有电梯,中楼层(共10层)2003年建板楼,,-
东城,安外大街 ,1室1厅,46.83,480,102499,房本满五年,东,简装,有电梯,顶层(共16层)1994年建塔楼,,-
东城,和平里一区 ,3室1厅,64.39,700,108713,房本满五年,南北,简装,有电梯,低楼层(共11层)1990年建板塔结合,,-
东城,柏林寺西 ,2室1厅,60.35,663,109860,房本满五年,东西,简装,无电梯,高楼层(共6层)1985年建板楼,,-
东城,天娇园 ,1室1厅,58.47,568,97144,房本满五年,北,精装,有电梯,中楼层(共11层)2008年建板塔结合,,-
东城,东方银座 ,2室1厅,128.12,1200,93663,房本满五年,西,简装,有电梯,高楼层(共27层)2003年建塔楼,,-
东城,国瑞城中区 ,3室1厅,96.26,1150,119469,房本满五年,东南,精装,有电梯,中楼层(共16层)2006年建板塔结合,,-
东城,海晟国际公寓 ,1室1厅,82.04,980,119454,房本满五年,东,精装,无,中楼层(共22层)2007年建板塔结合,,-
东城,富贵园二区 ,2室1厅,69.93,760,108681,房本满五年,西南,精装,有电梯,顶层(共18层)2003年建塔楼,,-
东城,朝阳门南小街 ,2室1厅,69.82,950,136065,房本满五年,南北,简装,有电梯,中楼层(共16层)2004年建板塔结合,,-
东城,太华公寓 ,2室1厅,105.52,900,85292,房本满五年,东北,其他,有电梯,高楼层(共17层)2000年建塔楼,,-
东城,天娇园 ,2室2厅,98.06,1078,109933,房本满五年,西,精装,有电梯,中楼层(共11层)2008年建板塔结合,,-
东城,永合馨苑 ,2室1厅,117.93,800,67837,房本满五年,南北,简装,无,低楼层(共11层)2001年建板塔结合,,-
东城,海运仓小区 ,2室1厅,66.39,896,134961,房本满五年,南北,简装,无电梯,中楼层(共7层)2003年建板楼,,-
东城,东直门北大街 ,2室1厅,65.1,680,104455,房本满五年,南,精装,有电梯,低楼层(共18层)1995年建塔楼,,-
东城,朝阳门南小街 ,3室1厅,68.64,900,131119,房本满五年,东西,简装,有电梯,低楼层(共16层)2004年建板塔结合,,-
东城,青年湖东里 ,3室1厅,72.53,800,110300,房本满五年,东南北,简装,无电梯,底层(共6层)1982年建板楼,,-
东城,龙潭西里 ,2室1厅,55.66,556.6,100000,房本满五年,东北,精装,无,中楼层(共5层)1985年建板楼,,-
东城,海晟名苑 ,3室1厅,147.26,2050,139210,房本满五年,西南,精装,有电梯,低楼层(共22层)2003年建板塔结合,,-
东城,建予园 ,2室1厅,77.79,590,75846,房本满五年,西南,简装,有电梯,高楼层(共16层)2001年建塔楼,,-
东城,青年湖东里 ,1室1厅,41.92,460,109733,,南,精装,无,底层(共6层)1982年建板楼,,-
东城,海运仓小区 ,2室1厅,66.39,896,134961,房本满五年,南北,简装,无电梯,中楼层(共7层)2003年建板楼,,-
东城,东直门北大街 ,2室1厅,65.1,680,104455,房本满五年,南,精装,有电梯,低楼层(共18层)1995年建塔楼,,-
东城,赵堂子胡同 ,2室1厅,80.92,950,117400,房本满五年,南,简装,无,底层(共11层)2003年建板塔结合,,-
东城,东华门大街 ,1室1厅,39.58,520,131380,房本满五年,南,精装,无,高楼层(共6层)1988年建板楼,,-
东城,东总布胡同 ,3室1厅,73.59,870,118223,房本满五年,南北,精装,无电梯,低楼层(共6层)1990年建板楼,,-
